dataset_id,variable_id,scenario,period,file_path,units,dataset_type,nodata_value,enabled,file_format,resolution
SMV_pH_surface_RCP85_20402059,pH_surface,rcp85,2040-2059,rasters/marine/rcp85/2040-2059/pH_surface_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_bottom_RCP85_20402059,pH_bottom,rcp85,2040-2059,rasters/marine/rcp85/2040-2059/pH_bottom_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_satarag_surface_RCP85_20402059,satarag_surface,rcp85,2040-2059,rasters/marine/rcp85/2040-2059/satarag_surface_lowest_climatological_month.tif,dimensionless,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_netPP_total_RCP85_20402059,netPP_total,rcp85,2040-2059,rasters/marine/rcp85/2040-2059/netPP_total_annual_climatological_mean.tif,mg C/m^2/d,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_surface_RCP85_20792098,T_surface,rcp85,2079-2098,rasters/marine/rcp85/2079-2098/T_surface_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_T_bottom_RCP85_20792098,T_bottom,rcp85,2079-2098,rasters/marine/rcp85/2079-2098/T_bottom_warmest_climatological_month.tif,degrees C,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_S_surface_RCP85_20792098,S_surface,rcp85,2079-2098,rasters/marine/rcp85/2079-2098/S_surface_annual_climatological_mean.tif,psu,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_O2_bottom_RCP85_20792098,O2_bottom,rcp85,2079-2098,rasters/marine/rcp85/2079-2098/O2_bottom_lowest_climatological_month.tif,mmol/m^3,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_surface_RCP85_20792098,pH_surface,rcp85,2079-2098,rasters/marine/rcp85/2079-2098/pH_surface_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_pH_bottom_RCP85_20792098,pH_bottom,rcp85,2079-2098,rasters/marine/rcp85/2079-2098/pH_bottom_lowest_climatological_month.tif,pH,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_satarag_surface_RCP85_20792098,satarag_surface,rcp85,2079-2098,rasters/marine/rcp85/2079-2098/satarag_surface_lowest_climatological_month.tif,dimensionless,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
SMV_netPP_total_RCP85_20792098,netPP_total,rcp85,2079-2098,rasters/marine/rcp85/2079-2098/netPP_total_annual_climatological_mean.tif,mg C/m^2/d,continuous,-9999,TRUE,tif,~0.1 degree (~11 km)
COASTAL_SSP585_20212050_RP1,COASTAL_INUNDATION_RP1,ssp585,2021-2050,rasters/coastal/Inundation_2021-2050_rp1.tif,binary exposure,inundation_binary,-3402823466385289e23,TRUE,tif,0.000832639 x 0.00083264 (native CRS units)
COASTAL_SSP585_20212050_RP2,COASTAL_INUNDATION_RP2,ssp585,2021-2050,rasters/coastal/Inundation_2021-2050_rp2.tif,binary exposure,inundation_binary,-3402823466385289e23,TRUE,tif,0.000832639 x 0.00083264 (native CRS units)
COASTAL_SSP585_20212050_RP5,COASTAL_INUNDATION_RP5,ssp585,2021-2050,rasters/coastal/Inundation_2021-2050_rp5.tif,binary exposure,inundation_binary,-3402823466385289e23,TRUE,tif,0.000832639 x 0.00083264 (native CRS units)
COASTAL_SSP585_20212050_RP10,COASTAL_INUNDATION_RP10,ssp585,2021-2050,rasters/coastal/Inundation_2021-2050_rp10.tif,binary exposure,inundation_binary,-3402823466385289e23,TRUE,tif,0.000832639 x 0.00083264 (native CRS units)
COASTAL_SSP585_20212050_RP25,COASTAL_INUNDATION_RP25,ssp585,2021-2050,rasters/coastal/Inundation_2021-2050_rp25.tif,binary exposure,inundation_binary,-3402823466385289e23,TRUE,tif,0.000832639 x 0.00083264 (native CRS units)
COASTAL_SSP585_20212050_RP50,COASTAL_INUNDATION_RP50,ssp585,2021-2050,rasters/coastal/Inundation_2021-2050_rp50.tif,binary exposure,inundation_binary,-3402823466385289e23,TRUE,tif,0.000832639 x 0.00083264 (native CRS units)
COASTAL_SSP585_20212050_RP75,COASTAL_INUNDATION_RP75,ssp585,2021-2050,rasters/coastal/Inundation_2021-2050_rp75.tif,binary exposure,inundation_binary,-3402823466385289e23,TRUE,tif,0.000832639 x 0.00083264 (native CRS units)
COASTAL_SSP585_20212050_RP100,COASTAL_INUNDATION_RP100,ssp585,2021-2050,rasters/coastal/Inundation_2021-2050_rp100.tif,binary exposure,inundation_binary,-3402823466385289e23,TRUE,tif,0.000832639 x 0.00083264 (native CRS units)
KBDImax_BASE_19812010,KBDImax,baseline,1981-2010,rasters/baseline/KBDImax_historical_1981-2010.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP126_20112040,KBDImax,ssp126,2011-2040,rasters/future/ssp126/2011-2040/KBDImax_ssp126_2011-2040.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP126_20412070,KBDImax,ssp126,2041-2070,rasters/future/ssp126/2041-2070/KBDImax_ssp126_2041-2070.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP126_20712100,KBDImax,ssp126,2071-2100,rasters/future/ssp126/2071-2100/KBDImax_ssp126_2071-2100.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP245_20112040,KBDImax,ssp245,2011-2040,rasters/future/ssp245/2011-2040/KBDImax_ssp245_2011-2040.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP245_20412070,KBDImax,ssp245,2041-2070,rasters/future/ssp245/2041-2070/KBDImax_ssp245_2041-2070.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP245_20712100,KBDImax,ssp245,2071-2100,rasters/future/ssp245/2071-2100/KBDImax_ssp245_2071-2100.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
KBDImax_SSP370_20112040,KBDImax,ssp370,2011-2040,rasters/future/ssp370/2011-2040/KBDImax_ssp370_2011-2040.tif,KBDI index (0-800),continuous,-9999,TRUE,tif,0.25 x 0.25 degrees
